Instance,Income
111994,60793.337941027945
111995,53880.5937339112
111996,86682.17372693123
111997,240241.901067103
111998,64112.67382074948
111999,73046.73015647073
112000,85106.44787206687
112001,68224.48406373165
112002,58252.779331380545
112003,101901.53308385934
112004,35035.45206662421
112005,65794.91671631465
112006,-1044.9431948962665
112007,66997.56437871634
112008,336908.5824074497
112009,20745.161599840314
112010,92791.22121114744
112011,14539.663423993356
112012,-22662.82376355327
112013,63603.40319712341
112014,175083.3508999519
112015,42198.351435495526
112016,-7905.24947310071
112017,-53695.88776952133
112018,315778.65467685706
112019,29408.624578813615
112020,53259.36836405791
112021,43492.97868968148
112022,48835.784565081485
112023,-22638.120294853816
112024,-52353.226539924406
112025,96154.64030559013
112026,42438.81682459882
112027,69814.63767152815
112028,45932.97195551501
112029,223865.3627175475
112030,158625.39927615368
112031,296757.4242031998
112032,170233.60492321406
112033,100014.7231934783
112034,527628.9066522929
112035,177591.6714838123
112036,124195.75222124415
112037,225952.517034106
112038,142164.9580314604
112039,36122.27545463419
112040,-24105.188456546977
112041,-1775.6936954337652
112042,43638.83205369837
112043,79198.97857900299
112044,36895.57560176954
112045,46500.580735125375
112046,249485.12613888955
112047,68730.82466446733
112048,35733.75338436195
112049,142100.79945075308
112050,46332.915401984326
112051,107997.55965201757
112052,161047.33441020647
112053,133607.34387192669
112054,55764.14958065978
112055,57602.756672191
112056,37504.72105828933
112057,78588.20287625922
112058,-11304.08026046717
112059,2982.775961965479
112060,311701.5212221405
112061,153536.62212631965
112062,112120.31729556728
112063,112297.55677991454
112064,91536.40392206526
112065,148587.85172686607
112066,93514.18074638935
112067,93610.98909573801
112068,15557.036511409999
112069,243240.1019045414
112070,336887.18408731243
112071,42726.62654297406
112072,74818.62856374428
112073,35210.62282359942
112074,54300.38403967806
112075,-12014.0199298915
112076,69873.927578945
112077,630238.6889756904
112078,24510.61802615346
112079,249472.67930278284
112080,215349.62981095066
112081,517692.7180535953
112082,101347.81071635008
112083,73036.97485087116
112084,57471.43955647398
112085,12908.372947845033
112086,15454.807811492596
112087,140339.68526140586
112088,137908.78623258858
112089,520.3432073383956
112090,162963.41817955513
112091,61587.4949887683
112092,80064.47085019013
112093,174910.3514888115
112094,8728.454157546134
112095,31092.924570086063
112096,159204.6027998779
112097,24632.628583992926
112098,104417.56571384185
112099,10455.82423832114
112100,65543.73147735778
112101,490112.456331835
112102,-10537.593924859091
112103,131708.8313799153
112104,185006.52542313415
112105,45347.02192335026
112106,63302.1203966099
112107,43918.01794307749
112108,23500.475649308755
112109,99941.58899467612
112110,12122.983803236399
112111,26422.442660944274
112112,49505.99627296165
112113,38234.97898010866
112114,75697.6844300091
